,Unnamed: 0,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle
3164,3164,technosat,42829,59570.38726165518,2459570.887261655,-5691.463758214774,-4039.992129868863,12.04628746173508
3165,3165,technosat,42829,59570.58853478031,2459571.0885347803,-5678.119239975162,-4058.8856963808776,12.030052728106387
3166,3166,technosat,42829,59570.58853478031,2459571.0885347803,-5678.119239975162,-4058.8856963808776,12.030052728106387
3167,3167,technosat,42829,59570.85689917812,2459571.356899178,-5660.228153431442,-4084.0259628199774,11.98912387960255
3168,3168,technosat,42829,59571.125263414346,2459571.6252634143,-5642.221980659861,-4109.083811415554,11.952961623872216
3169,3169,technosat,42829,59571.32653650455,2459571.826536505,-5628.639235986217,-4127.826813695101,11.9144732866285
3170,3170,technosat,42829,59571.59490059037,2459572.0949005904,-5610.442432712959,-4152.733267185734,11.874064589603265
3171,3171,technosat,42829,59571.59490059037,2459572.0949005904,-5610.442432712959,-4152.733267185734,11.874064589603265
3172,3172,technosat,42829,59571.9303556364,2459572.4303556364,-5587.54175106428,-4183.765688799921,11.84296454113593
3173,3173,technosat,42829,59572.1316285762,2459572.631628576,-5573.71001454181,-4202.325007247091,11.817762915312493
3174,3174,technosat,42829,59572.399992453866,2459572.899992454,-5555.169125397417,-4226.995934516764,11.762395286941898
3175,3175,technosat,42829,59572.60126531264,2459573.1012653126,-5541.199844704049,-4245.437162224893,11.738994290297066
3176,3176,technosat,42829,59572.60126531264,2459573.1012653126,-5541.199844704049,-4245.437162224893,11.738994290297066
3177,3177,technosat,42829,59572.86962914374,2459573.369629144,-5522.480495843763,-4269.971010047619,11.70276346492132
3178,3178,technosat,42829,59573.1379928356,2459573.637992836,-5503.642903597804,-4294.416213459964,11.657707149932737
3179,3179,technosat,42829,59573.33926561335,2459573.8392656134,-5489.446992434923,-4312.684078109124,11.638987629495148
3180,3180,technosat,42829,59573.607629050966,2459574.107629051,-5470.4155647706775,-4336.979648922263,11.594171213050547
3181,3181,technosat,42829,59573.607629050966,2459574.107629051,-5470.4155647706775,-4336.979648922263,11.594171213050547
3182,3182,technosat,42829,59574.211447036825,2459574.711447037,-5427.207545496989,-4391.33477455239,11.507193632759751
3183,3183,technosat,42829,59574.41271951376,2459574.9127195138,-5412.68800299902,-4409.349648332253,11.480099829267838
3184,3184,technosat,42829,59574.61399193294,2459575.113991933,-5398.098090988799,-4427.325732234924,11.440105322195894
3185,3185,technosat,42829,59574.61399193294,2459575.113991933,-5398.098090988799,-4427.325732234924,11.440105322195894
3186,3186,technosat,42829,59575.15071824053,2459575.6507182405,-5358.916721582197,-4475.007834920486,11.361730998254789
3187,3187,technosat,42829,59575.48617192125,2459575.986171921,-5334.206033497374,-4504.633182259198,11.30703995762177
3188,3188,technosat,42829,59575.55326261558,2459576.053262616,-5329.245938205422,-4510.53903644366,11.302741751138964
3189,3189,technosat,42829,59575.620353287086,2459576.120353287,-5324.279813423391,-4516.441164232878,11.29074462875413
3190,3190,technosat,42829,59575.620353287086,2459576.120353287,-5324.279813423391,-4516.441164232878,11.29074462875413
3191,3191,technosat,42829,59576.15707843751,2459576.657078437,-5284.2924486993525,-4563.468918277809,11.215710741531394
3192,3192,technosat,42829,59576.559622361325,2459577.0596223613,-5254.027197634767,-4598.499704045715,11.147617124160789
3193,3193,technosat,42829,59576.6267129397,2459577.12671294,-5248.962690900428,-4604.317356999593,11.140103496400137
3194,3194,technosat,42829,59576.6267129397,2459577.12671294,-5248.962690900428,-4604.317356999593,11.140103496400137
